TranslatedRecipeName,Spice Tolerance,Dietary Preference
Masala Karela Recipe,Spicy,Vegetarian
Spicy Tomato Rice (Recipe),Spicy,Vegetarian
Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,Spicy,Vegetarian
Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,Spicy,Non-Vegetarian
Andhra Style Alam Pachadi Recipe - Adrak Chutney (Recipe),Spicy,Vegetarian
Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),Spicy,Vegetarian
Udupi Style Ash Gourd Coconut Curry Recipe,Spicy,Vegetarian
Mexican Style Black Bean Burrito Recipe,Spicy,Vegetarian
Spicy Crunchy Masala Idli Recipe,Spicy,Vegetarian
Cauliflower Leaves Chutney (Recipe in Hindi),Spicy,Vegetarian
Homemade Baked Beans Recipe (Wholesome & Healthy),Spicy,Vegetarian
Veg Chili Cheese Burgers Recipe,Spicy,Non-Vegetarian
Andhra Steel Ingavu Charu Recipe - Asfoitida Flavored Tamarand Rasam,Non-Spicy,Vegetarian
And fish soup recipe - Bengali style fish in tomato gravy,Spicy,Non-Vegetarian
Saunf Aloo (Fennel Potato Curry) Recipe,Spicy,Vegetarian
South Indian Onion Chutney Recipe - South Indian Onion Chutney (Recipe),Spicy,Vegetarian
Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Spicy,Non-Vegetarian
Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,Spicy,Vegetarian
Homemade Tater Tots Recipe,Spicy,Vegetarian
Chettinad Vegetable Casserole Recipe - Chettinad Vegetable Pulao Recipe,Spicy,Vegetarian
Garlic Amla Chutney Recipe - Lehsun Amla Chutney Recipe,Spicy,Vegetarian
Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,Spicy,Vegetarian
Homemade Healthy Subway Sandwich Recipe With Beet & Sprout,Spicy,Vegetarian
South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry,Spicy,Vegetarian
Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,Non-Spicy,Vegetarian
Chettinad Sweet Paniyaram Recipe - Chettinad Sweet Paniyaram Recipe,Non-Spicy,Vegetarian
Mini Dal Samosa Curry / Sabzi Recipe,Spicy,Vegetarian
Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce,Spicy,Vegetarian
